epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2769.06,1.10022,1.58368,1.31734,0.40588,0.65993,0.42594,0.27211,1.2294,2.10451,1.54932,0.000554537,0.000554537,0.000554537
2,5330.75,1.08691,1.25023,1.29114,0.27136,0.44511,0.25059,0.1455,1.55954,2.68594,1.91903,0.00108822,0.00108822,0.00108822
3,7836.23,1.07226,1.17072,1.28253,0.12117,0.59029,0.14374,0.07515,1.49333,3.13716,1.78562,0.0015999,0.0015999,0.0015999
4,10333.9,1.06563,1.10879,1.2764,0.37276,0.7425,0.39971,0.25239,1.26958,2.02247,1.61046,0.00156798,0.00156798,0.00156798
5,12817.7,1.01779,1.03916,1.25366,0.38255,0.73344,0.37377,0.22762,1.41028,2.15373,1.61241,0.00153497,0.00153497,0.00153497
6,15309.2,0.99544,1.00563,1.23261,0.19991,0.64638,0.24607,0.13962,1.28773,2.65059,1.56646,0.00150197,0.00150197,0.00150197
7,17810.3,0.96438,0.95531,1.21311,0.40154,0.82044,0.43609,0.29241,1.18074,1.93593,1.48264,0.00146896,0.00146896,0.00146896
8,20286.2,0.96356,0.93688,1.2107,0.27584,0.77885,0.29737,0.1907,1.2574,1.99272,1.56444,0.00143595,0.00143595,0.00143595
9,22824.8,0.93209,0.89721,1.19402,0.3545,0.66005,0.32604,0.22044,1.13581,2.11224,1.45166,0.00140295,0.00140295,0.00140295
10,25342.2,0.92496,0.89939,1.19659,0.35305,0.74327,0.38865,0.26613,1.07382,2.08556,1.38597,0.00136994,0.00136994,0.00136994
11,27852.3,0.91192,0.87055,1.18605,0.35178,0.71167,0.36424,0.24077,1.17104,2.13786,1.47411,0.00133693,0.00133693,0.00133693
12,30330.7,0.89502,0.83863,1.1697,0.27923,0.62492,0.25657,0.16577,1.06896,2.46443,1.39814,0.00130393,0.00130393,0.00130393
13,32854.8,0.88611,0.83206,1.1662,0.28972,0.65087,0.295,0.20097,1.11511,2.8233,1.37254,0.00127092,0.00127092,0.00127092
14,35406.9,0.87787,0.82325,1.16156,0.28007,0.57586,0.26645,0.1771,1.08293,2.68606,1.38886,0.00123791,0.00123791,0.00123791
15,37983.5,0.864,0.79353,1.15383,0.34039,0.54812,0.24143,0.1628,1.10485,3.15237,1.37576,0.00120491,0.00120491,0.00120491
16,40592.1,0.85857,0.79884,1.14982,0.31567,0.62737,0.33865,0.22071,1.13021,2.58038,1.38409,0.0011719,0.0011719,0.0011719
17,42400.6,0.84327,0.77509,1.13934,0.29074,0.61301,0.28995,0.19768,1.06952,2.67508,1.36848,0.00113889,0.00113889,0.00113889
18,87943.5,0.84452,0.78122,1.14167,0.35079,0.44374,0.16304,0.10569,1.21676,3.24712,1.46444,0.00110589,0.00110589,0.00110589
19,90487.8,0.8397,0.77508,1.13731,0.20948,0.58661,0.23445,0.15769,1.03949,2.77872,1.3383,0.00107288,0.00107288,0.00107288
20,93829.6,0.82114,0.75385,1.12601,0.32933,0.59424,0.32633,0.21753,1.09616,2.63701,1.38441,0.00103987,0.00103987,0.00103987
21,97559.8,0.82813,0.75932,1.13054,0.31505,0.58374,0.29934,0.2015,1.05846,3.02838,1.37397,0.00100687,0.00100687,0.00100687
22,101251,0.8193,0.73762,1.12307,0.36651,0.71324,0.38883,0.2759,0.97705,2.35788,1.30645,0.000973861,0.000973861,0.000973861
23,104914,0.79922,0.72691,1.11497,0.27682,0.55369,0.30553,0.20106,1.10853,2.88059,1.36455,0.000940855,0.000940855,0.000940855
24,107699,0.7987,0.72069,1.11645,0.27636,0.55238,0.23229,0.15796,1.07928,2.86737,1.35648,0.000907848,0.000907848,0.000907848
25,110235,0.79456,0.7071,1.1108,0.31554,0.55849,0.25447,0.16917,1.10961,2.78391,1.37845,0.000874842,0.000874842,0.000874842
26,112748,0.79628,0.71179,1.11227,0.33048,0.54398,0.22244,0.15142,1.10961,2.85557,1.39244,0.000841835,0.000841835,0.000841835
27,115237,0.7827,0.69677,1.10199,0.30042,0.55913,0.22222,0.14949,1.16398,3.09014,1.45102,0.000808828,0.000808828,0.000808828
28,118692,0.77412,0.69136,1.10307,0.26314,0.54455,0.24466,0.16078,1.1046,2.95594,1.39189,0.000775822,0.000775822,0.000775822
29,122503,0.77346,0.68237,1.09818,0.2342,0.54279,0.23297,0.15505,1.11865,3.08683,1.39556,0.000742815,0.000742815,0.000742815
30,126257,0.76778,0.67413,1.09295,0.23671,0.52249,0.20822,0.13864,1.09398,3.34324,1.39345,0.000709809,0.000709809,0.000709809
31,129937,0.76122,0.66858,1.09617,0.29719,0.59024,0.28724,0.20137,1.06884,2.81853,1.3473,0.000676802,0.000676802,0.000676802
32,132574,0.75255,0.64942,1.08743,0.34075,0.58143,0.29586,0.20398,1.13563,2.85525,1.41345,0.000643795,0.000643795,0.000643795
33,135201,0.73447,0.6567,1.08394,0.24608,0.55191,0.24896,0.16454,1.18159,2.958,1.42634,0.000610789,0.000610789,0.000610789
34,136908,0.73551,0.64888,1.0816,0.32218,0.54042,0.2475,0.1654,1.1865,3.25421,1.41693,0.000577782,0.000577782,0.000577782
35,138606,0.74148,0.65241,1.08388,0.36918,0.47805,0.22245,0.1417,1.21548,3.42088,1.44972,0.000544776,0.000544776,0.000544776
36,141256,0.72613,0.63754,1.07584,0.29965,0.56936,0.25231,0.17244,1.03101,3.0102,1.30372,0.000511769,0.000511769,0.000511769
37,147028,0.71815,0.6237,1.07028,0.41601,0.46011,0.17554,0.11373,1.22896,3.48666,1.46611,0.000478762,0.000478762,0.000478762
38,150031,0.71119,0.61769,1.0696,0.35661,0.54713,0.29891,0.20734,1.08341,3.04201,1.37167,0.000445756,0.000445756,0.000445756
39,153487,0.71538,0.6293,1.07068,0.28423,0.52065,0.23333,0.15388,1.18535,3.13782,1.43196,0.000412749,0.000412749,0.000412749
40,156382,0.69818,0.6023,1.06181,0.34833,0.56152,0.27516,0.18501,1.12966,2.99086,1.39136,0.000379743,0.000379743,0.000379743
41,158927,0.68022,0.53412,1.05169,0.33276,0.5563,0.25304,0.1797,1.03601,3.239,1.31071,0.000346736,0.000346736,0.000346736
42,161234,0.67453,0.5128,1.04615,0.3143,0.53597,0.25344,0.1752,1.15283,3.40611,1.42442,0.000313729,0.000313729,0.000313729
43,162951,0.66415,0.50648,1.04012,0.33993,0.53513,0.22772,0.15698,1.09211,3.4674,1.37706,0.000280723,0.000280723,0.000280723
44,167804,0.65638,0.49469,1.03543,0.28009,0.52264,0.19749,0.1333,1.06359,3.63977,1.3421,0.000247716,0.000247716,0.000247716
45,170869,0.65313,0.49345,1.03661,0.31035,0.53468,0.20214,0.14081,1.05035,3.67911,1.33633,0.00021471,0.00021471,0.00021471
46,173020,0.64305,0.48092,1.02795,0.3281,0.52162,0.20637,0.14083,1.1252,3.66919,1.38542,0.000181703,0.000181703,0.000181703
47,176447,0.63541,0.47205,1.02182,0.34237,0.52297,0.20551,0.1412,1.10921,3.64567,1.38178,0.000148696,0.000148696,0.000148696
48,179045,0.62569,0.46769,1.01921,0.32782,0.52632,0.21855,0.15492,1.07838,3.61999,1.36683,0.00011569,0.00011569,0.00011569
